Periodo;AbreviaEmpresa;IdInterrupcion;NroInterrupcion;UUNN;EE;TipoMed;NaturalezaInterrupcion;ResponsabilidadInterrupcion;ResponsableInterrupcion;PropiedadDeLaInstCausante;CausaInterrupcion;SolicitoFM;IniciaTramiteFM;EstadoFM;Motivo;TipoProgramada;ClasificacionMotivo;Submotivo;SaidiUUNN;Cumple;Fecha
202205;ENOSA;3322584;30084460;Tumbes;I120158;Seccion de Linea o Alimentador;No Programado, Accion De Terceros;Distribucion;Terceros;Propia;Otros, causados por terceros;1;1;No Procede;Otros y/o terceros;NULL;Interno;Otros;0.000018707;0;31/05/2022
202205;ENOSA;3322597;200027091;Bajo Piura;I170093;Seccion de Linea o Alimentador;No Programado, Falla;Distribucion;Propia;Propia;Falla terminal cable;0;0;Sin Tramite;Falla;NULL;Interno;Falla terminal cable;0.001625912;0;31/05/2022
202205;ENOSA;3322607;30084462;Tumbes;A1083  ;Alimentador Media Tension;No Programado, Accion De Terceros;Distribucion;Terceros;Propia;Otros, causados por terceros;1;1;Procede;Otros y/o terceros;NULL;Interno;Otros;0.000033162;0;31/05/2022
202205;ENOSA;3322651;70080865;Talara;A1304  ;Alimentador Media Tension;No Programado, Accion De Terceros;Distribucion;Terceros;Propia;Cometas;1;1;Procede;Otros y/o terceros;NULL;Interno;Objetos en redes (Cometas, cintas, etc);0.216553972;1;31/05/2022
202205;ENOSA;3322674;70080866;Talara;I130261;Seccion de Linea o Alimentador;No Programado, Accion De Terceros;Distribucion;Terceros;Propia;Aves;1;1;Procede;Otros y/o terceros;NULL;Interno;Aves;0.099306183;0;31/05/2022
202205;ENOSA;3323628;120034256;Alto Piura;I140066;Seccion de Linea o Alimentador;No Programado, Accion De Terceros;Distribucion;Terceros;Propia;Caida de arbol;1;1;No Procede;Otros y/o terceros;NULL;Interno;Caida de arboles;0.000663808;0;31/05/2022
202205;ENOSA;3323672;180061476;Paita;A1030  ;Alimentador Media Tension;No Programado, Falla;Distribucion;Propia;Propia;Caida conductor de red;0;0;Sin Tramite;Falla;NULL;Interno;Linea abierta o caida;0.000170877;0;31/05/2022
202205;ENOSA;3323692;180061477;Paita;I160096;Seccion de Linea o Alimentador;No Programado, Falla;Distribucion;Propia;Propia;Contacto de red con arbol;0;0;Sin Tramite;Falla;NULL;Interno;Contacto de Red con arbol;0.000118951;0;31/05/2022
202205;ENOSA;3323920;10230908;Piura;E101132;Subestacion de Distribucion;No Programado, Falla;Distribucion;Propia;Propia;Animales (Felinos y Roedores);0;0;Sin Tramite;Falla;NULL;Interno;Animales (Felinos y/o roedores);0.001248468;0;31/05/2022
202205;ENOSA;3324168;150096660;Sullana;A1525  ;Alimentador Media Tension;No Programado, Falla;Distribucion;Propia;Propia;Bajo nivel de aislamiento (Aislado roto / Tension inadecuada);0;0;Sin Tramite;Falla;NULL;Interno;Bajo nivel de aislamiento ( Elemento Electrico mal dimensionado);0.000005642;0;31/05/2022
